"employee_id","student_id","first_name","middle_name","last_name","email","role","department","program","year_level","contact_number","login_password"
"FAC-DEMO-0037","","Rafael","G.","Navarro","faculty0037@coedigo.local","faculty","College of Engineering","BSCE","","09700000037","password"
"FAC-DEMO-0038","","Sofia","H.","Ocampo","faculty0038@coedigo.local","faculty","College of Engineering","BSEE","","09700000038","password"
"FAC-DEMO-0039","","Tristan","I.","Pascual","faculty0039@coedigo.local","faculty","College of Engineering","BSCpE","","09700000039","password"
"FAC-DEMO-0040","","Yasmin","J.","Quinto","faculty0040@coedigo.local","faculty","College of Engineering","BSME","","09700000040","password"
"FAC-DEMO-0041","","Aaron","A.","Reyes","faculty0041@coedigo.local","faculty","College of Engineering","BSCE","","09700000041","password"
"FAC-DEMO-0042","","Beatrice","B.","Santos","faculty0042@coedigo.local","faculty","College of Engineering","BSEE","","09700000042","password"
"FAC-DEMO-0043","","Carlos","C.","Torres","faculty0043@coedigo.local","faculty","College of Engineering","BSCpE","","09700000043","password"
"FAC-DEMO-0044","","Diana","D.","Uy","faculty0044@coedigo.local","faculty","College of Engineering","BSME","","09700000044","password"
"FAC-DEMO-0045","","Edwin","E.","Valdez","faculty0045@coedigo.local","faculty","College of Engineering","BSCE","","09700000045","password"
"FAC-DEMO-0046","","Fatima","F.","Yap","faculty0046@coedigo.local","faculty","College of Engineering","BSEE","","09700000046","password"
"FAC-DEMO-0047","","Gabriel","G.","Zamora","faculty0047@coedigo.local","faculty","College of Engineering","BSCpE","","09700000047","password"
"FAC-DEMO-0048","","Hannah","H.","Villanueva","faculty0048@coedigo.local","faculty","College of Engineering","BSME","","09700000048","password"
"FAC-DEMO-0049","","Ivan","I.","Abad","faculty0049@coedigo.local","faculty","College of Engineering","BSCE","","09700000049","password"
"FAC-DEMO-0050","","Jasmine","J.","Bautista","faculty0050@coedigo.local","faculty","College of Engineering","BSEE","","09700000050","password"
"FAC-DEMO-0051","","Kenneth","A.","Cabrera","faculty0051@coedigo.local","faculty","College of Engineering","BSCpE","","09700000051","password"
"FAC-DEMO-0052","","Lara","B.","Dela Cruz","faculty0052@coedigo.local","faculty","College of Engineering","BSME","","09700000052","password"
"FAC-DEMO-0053","","Miguel","C.","Espina","faculty0053@coedigo.local","faculty","College of Engineering","BSCE","","09700000053","password"
"FAC-DEMO-0054","","Nina","D.","Flores","faculty0054@coedigo.local","faculty","College of Engineering","BSEE","","09700000054","password"
"FAC-DEMO-0055","","Oscar","E.","Garcia","faculty0055@coedigo.local","faculty","College of Engineering","BSCpE","","09700000055","password"
"FAC-DEMO-0056","","Patricia","F.","Hernandez","faculty0056@coedigo.local","faculty","College of Engineering","BSME","","09700000056","password"
"FAC-DEMO-0057","","Rafael","G.","Ilagan","faculty0057@coedigo.local","faculty","College of Engineering","BSCE","","09700000057","password"
"FAC-DEMO-0058","","Sofia","H.","Javier","faculty0058@coedigo.local","faculty","College of Engineering","BSEE","","09700000058","password"
"FAC-DEMO-0059","","Tristan","I.","Lim","faculty0059@coedigo.local","faculty","College of Engineering","BSCpE","","09700000059","password"
"FAC-DEMO-0060","","Yasmin","J.","Mendoza","faculty0060@coedigo.local","faculty","College of Engineering","BSME","","09700000060","password"
"","STU-DEMO-0001","Adrian","A.","Aguilar","student0001@coedigo.local","student","College of Engineering","BSCE","1","09800000001","password"
"","STU-DEMO-0002","Alyssa","B.","Alvarez","student0002@coedigo.local","student","College of Engineering","BSEE","2","09800000002","password"
"","STU-DEMO-0003","Bianca","C.","Aquino","student0003@coedigo.local","student","College of Engineering","BSCpE","3","09800000003","password"
"","STU-DEMO-0004","Bryan","D.","Baluyot","student0004@coedigo.local","student","College of Engineering","BSME","4","09800000004","password"
"","STU-DEMO-0005","Camille","E.","Basilio","student0005@coedigo.local","student","College of Engineering","BSCE","5","09800000005","password"
"","STU-DEMO-0006","Cedric","F.","Castillo","student0006@coedigo.local","student","College of Engineering","BSEE","1","09800000006","password"
"","STU-DEMO-0007","Clarisse","G.","Chavez","student0007@coedigo.local","student","College of Engineering","BSCpE","2","09800000007","password"
"","STU-DEMO-0008","Daniel","H.","Cruz","student0008@coedigo.local","student","College of Engineering","BSME","3","09800000008","password"
"","STU-DEMO-0009","Elaine","I.","Domingo","student0009@coedigo.local","student","College of Engineering","BSCE","4","09800000009","password"
"","STU-DEMO-0010","Francis","J.","Enriquez","student0010@coedigo.local","student","College of Engineering","BSEE","5","09800000010","password"
"","STU-DEMO-0011","Gina","A.","Fernandez","student0011@coedigo.local","student","College of Engineering","BSCpE","1","09800000011","password"
"","STU-DEMO-0012","Harold","B.","Francisco","student0012@coedigo.local","student","College of Engineering","BSME","2","09800000012","password"
"","STU-DEMO-0013","Irene","C.","Gonzales","student0013@coedigo.local","student","College of Engineering","BSCE","3","09800000013","password"
"","STU-DEMO-0014","Jomari","D.","Gutierrez","student0014@coedigo.local","student","College of Engineering","BSEE","4","09800000014","password"
"","STU-DEMO-0015","Katrina","E.","Herrera","student0015@coedigo.local","student","College of Engineering","BSCpE","5","09800000015","password"
"","STU-DEMO-0016","Leo","F.","Jacinto","student0016@coedigo.local","student","College of Engineering","BSME","1","09800000016","password"
"","STU-DEMO-0017","Maureen","G.","Lazaro","student0017@coedigo.local","student","College of Engineering","BSCE","2","09800000017","password"
"","STU-DEMO-0018","Nathan","H.","Lopez","student0018@coedigo.local","student","College of Engineering","BSEE","3","09800000018","password"
"","STU-DEMO-0019","Olivia","I.","Magno","student0019@coedigo.local","student","College of Engineering","BSCpE","4","09800000019","password"
"","STU-DEMO-0020","Paolo","J.","Manalo","student0020@coedigo.local","student","College of Engineering","BSME","5","09800000020","password"
"","STU-DEMO-0021","Queenie","A.","Marquez","student0021@coedigo.local","student","College of Engineering","BSCE","1","09800000021","password"
"","STU-DEMO-0022","Ramon","B.","Morales","student0022@coedigo.local","student","College of Engineering","BSEE","2","09800000022","password"
"","STU-DEMO-0023","Shaira","C.","Natividad","student0023@coedigo.local","student","College of Engineering","BSCpE","3","09800000023","password"
"","STU-DEMO-0024","Toni","D.","Ortega","student0024@coedigo.local","student","College of Engineering","BSME","4","09800000024","password"
"","STU-DEMO-0025","Ulysses","E.","Panganiban","student0025@coedigo.local","student","College of Engineering","BSCE","5","09800000025","password"
"","STU-DEMO-0026","Vanessa","F.","Perez","student0026@coedigo.local","student","College of Engineering","BSEE","1","09800000026","password"
"","STU-DEMO-0027","Warren","G.","Ramos","student0027@coedigo.local","student","College of Engineering","BSCpE","2","09800000027","password"
"","STU-DEMO-0028","Xandra","H.","Rivera","student0028@coedigo.local","student","College of Engineering","BSME","3","09800000028","password"
"","STU-DEMO-0029","Yvonne","I.","Robles","student0029@coedigo.local","student","College of Engineering","BSCE","4","09800000029","password"
"","STU-DEMO-0030","Zion","J.","Salazar","student0030@coedigo.local","student","College of Engineering","BSEE","5","09800000030","password"
"","STU-DEMO-0031","Adrian","A.","Santiago","student0031@coedigo.local","student","College of Engineering","BSCpE","1","09800000031","password"
"","STU-DEMO-0032","Alyssa","B.","Soriano","student0032@coedigo.local","student","College of Engineering","BSME","2","09800000032","password"
"","STU-DEMO-0033","Bianca","C.","Tolentino","student0033@coedigo.local","student","College of Engineering","BSCE","3","09800000033","password"
"","STU-DEMO-0034","Bryan","D.","Velasco","student0034@coedigo.local","student","College of Engineering","BSEE","4","09800000034","password"
"","STU-DEMO-0035","Camille","E.","Vergara","student0035@coedigo.local","student","College of Engineering","BSCpE","5","09800000035","password"
"","STU-DEMO-0036","Cedric","F.","Aguilar","student0036@coedigo.local","student","College of Engineering","BSME","1","09800000036","password"
"","STU-DEMO-0037","Clarisse","G.","Alvarez","student0037@coedigo.local","student","College of Engineering","BSCE","2","09800000037","password"
"","STU-DEMO-0038","Daniel","H.","Aquino","student0038@coedigo.local","student","College of Engineering","BSEE","3","09800000038","password"
"","STU-DEMO-0039","Elaine","I.","Baluyot","student0039@coedigo.local","student","College of Engineering","BSCpE","4","09800000039","password"
"","STU-DEMO-0040","Francis","J.","Basilio","student0040@coedigo.local","student","College of Engineering","BSME","5","09800000040","password"
"","STU-DEMO-0041","Gina","A.","Castillo","student0041@coedigo.local","student","College of Engineering","BSCE","1","09800000041","password"
"","STU-DEMO-0042","Harold","B.","Chavez","student0042@coedigo.local","student","College of Engineering","BSEE","2","09800000042","password"
"","STU-DEMO-0043","Irene","C.","Cruz","student0043@coedigo.local","student","College of Engineering","BSCpE","3","09800000043","password"
"","STU-DEMO-0044","Jomari","D.","Domingo","student0044@coedigo.local","student","College of Engineering","BSME","4","09800000044","password"
"","STU-DEMO-0045","Katrina","E.","Enriquez","student0045@coedigo.local","student","College of Engineering","BSCE","5","09800000045","password"
"","STU-DEMO-0046","Leo","F.","Fernandez","student0046@coedigo.local","student","College of Engineering","BSEE","1","09800000046","password"
"","STU-DEMO-0047","Maureen","G.","Francisco","student0047@coedigo.local","student","College of Engineering","BSCpE","2","09800000047","password"
"","STU-DEMO-0048","Nathan","H.","Gonzales","student0048@coedigo.local","student","College of Engineering","BSME","3","09800000048","password"
"","STU-DEMO-0049","Olivia","I.","Gutierrez","student0049@coedigo.local","student","College of Engineering","BSCE","4","09800000049","password"
"","STU-DEMO-0050","Paolo","J.","Herrera","student0050@coedigo.local","student","College of Engineering","BSEE","5","09800000050","password"
"","STU-DEMO-0051","Queenie","A.","Jacinto","student0051@coedigo.local","student","College of Engineering","BSCpE","1","09800000051","password"
"","STU-DEMO-0052","Ramon","B.","Lazaro","student0052@coedigo.local","student","College of Engineering","BSME","2","09800000052","password"
"","STU-DEMO-0053","Shaira","C.","Lopez","student0053@coedigo.local","student","College of Engineering","BSCE","3","09800000053","password"
"","STU-DEMO-0054","Toni","D.","Magno","student0054@coedigo.local","student","College of Engineering","BSEE","4","09800000054","password"
"","STU-DEMO-0055","Ulysses","E.","Manalo","student0055@coedigo.local","student","College of Engineering","BSCpE","5","09800000055","password"
"","STU-DEMO-0056","Vanessa","F.","Marquez","student0056@coedigo.local","student","College of Engineering","BSME","1","09800000056","password"
"","STU-DEMO-0057","Warren","G.","Morales","student0057@coedigo.local","student","College of Engineering","BSCE","2","09800000057","password"
"","STU-DEMO-0058","Xandra","H.","Natividad","student0058@coedigo.local","student","College of Engineering","BSEE","3","09800000058","password"
"","STU-DEMO-0059","Yvonne","I.","Ortega","student0059@coedigo.local","student","College of Engineering","BSCpE","4","09800000059","password"
"","STU-DEMO-0060","Zion","J.","Panganiban","student0060@coedigo.local","student","College of Engineering","BSME","5","09800000060","password"
"","STU-DEMO-0061","Adrian","A.","Perez","student0061@coedigo.local","student","College of Engineering","BSCE","1","09800000061","password"
"","STU-DEMO-0062","Alyssa","B.","Ramos","student0062@coedigo.local","student","College of Engineering","BSEE","2","09800000062","password"
"","STU-DEMO-0063","Bianca","C.","Rivera","student0063@coedigo.local","student","College of Engineering","BSCpE","3","09800000063","password"
"","STU-DEMO-0064","Bryan","D.","Robles","student0064@coedigo.local","student","College of Engineering","BSME","4","09800000064","password"
"","STU-DEMO-0065","Camille","E.","Salazar","student0065@coedigo.local","student","College of Engineering","BSCE","5","09800000065","password"
"","STU-DEMO-0066","Cedric","F.","Santiago","student0066@coedigo.local","student","College of Engineering","BSEE","1","09800000066","password"
"","STU-DEMO-0067","Clarisse","G.","Soriano","student0067@coedigo.local","student","College of Engineering","BSCpE","2","09800000067","password"
"","STU-DEMO-0068","Daniel","H.","Tolentino","student0068@coedigo.local","student","College of Engineering","BSME","3","09800000068","password"
"","STU-DEMO-0069","Elaine","I.","Velasco","student0069@coedigo.local","student","College of Engineering","BSCE","4","09800000069","password"
"","STU-DEMO-0070","Francis","J.","Vergara","student0070@coedigo.local","student","College of Engineering","BSEE","5","09800000070","password"
"","STU-DEMO-0071","Gina","A.","Aguilar","student0071@coedigo.local","student","College of Engineering","BSCpE","1","09800000071","password"
"","STU-DEMO-0072","Harold","B.","Alvarez","student0072@coedigo.local","student","College of Engineering","BSME","2","09800000072","password"
"","STU-DEMO-0073","Irene","C.","Aquino","student0073@coedigo.local","student","College of Engineering","BSCE","3","09800000073","password"
"","STU-DEMO-0074","Jomari","D.","Baluyot","student0074@coedigo.local","student","College of Engineering","BSEE","4","09800000074","password"
"","STU-DEMO-0075","Katrina","E.","Basilio","student0075@coedigo.local","student","College of Engineering","BSCpE","5","09800000075","password"
"","STU-DEMO-0076","Leo","F.","Castillo","student0076@coedigo.local","student","College of Engineering","BSME","1","09800000076","password"
"","STU-DEMO-0077","Maureen","G.","Chavez","student0077@coedigo.local","student","College of Engineering","BSCE","2","09800000077","password"
"","STU-DEMO-0078","Nathan","H.","Cruz","student0078@coedigo.local","student","College of Engineering","BSEE","3","09800000078","password"
"","STU-DEMO-0079","Olivia","I.","Domingo","student0079@coedigo.local","student","College of Engineering","BSCpE","4","09800000079","password"
"","STU-DEMO-0080","Paolo","J.","Enriquez","student0080@coedigo.local","student","College of Engineering","BSME","5","09800000080","password"
"","STU-DEMO-0081","Queenie","A.","Fernandez","student0081@coedigo.local","student","College of Engineering","BSCE","1","09800000081","password"
"","STU-DEMO-0082","Ramon","B.","Francisco","student0082@coedigo.local","student","College of Engineering","BSEE","2","09800000082","password"
"","STU-DEMO-0083","Shaira","C.","Gonzales","student0083@coedigo.local","student","College of Engineering","BSCpE","3","09800000083","password"
"","STU-DEMO-0084","Toni","D.","Gutierrez","student0084@coedigo.local","student","College of Engineering","BSME","4","09800000084","password"
"","STU-DEMO-0085","Ulysses","E.","Herrera","student0085@coedigo.local","student","College of Engineering","BSCE","5","09800000085","password"
"","STU-DEMO-0086","Vanessa","F.","Jacinto","student0086@coedigo.local","student","College of Engineering","BSEE","1","09800000086","password"
"","STU-DEMO-0087","Warren","G.","Lazaro","student0087@coedigo.local","student","College of Engineering","BSCpE","2","09800000087","password"
"","STU-DEMO-0088","Xandra","H.","Lopez","student0088@coedigo.local","student","College of Engineering","BSME","3","09800000088","password"
"","STU-DEMO-0089","Yvonne","I.","Magno","student0089@coedigo.local","student","College of Engineering","BSCE","4","09800000089","password"
"","STU-DEMO-0090","Zion","J.","Manalo","student0090@coedigo.local","student","College of Engineering","BSEE","5","09800000090","password"
"","STU-DEMO-0091","Adrian","A.","Marquez","student0091@coedigo.local","student","College of Engineering","BSCpE","1","09800000091","password"
"","STU-DEMO-0092","Alyssa","B.","Morales","student0092@coedigo.local","student","College of Engineering","BSME","2","09800000092","password"
"","STU-DEMO-0093","Bianca","C.","Natividad","student0093@coedigo.local","student","College of Engineering","BSCE","3","09800000093","password"
"","STU-DEMO-0094","Bryan","D.","Ortega","student0094@coedigo.local","student","College of Engineering","BSEE","4","09800000094","password"
"","STU-DEMO-0095","Camille","E.","Panganiban","student0095@coedigo.local","student","College of Engineering","BSCpE","5","09800000095","password"
"","STU-DEMO-0096","Cedric","F.","Perez","student0096@coedigo.local","student","College of Engineering","BSME","1","09800000096","password"
"","STU-DEMO-0097","Clarisse","G.","Ramos","student0097@coedigo.local","student","College of Engineering","BSCE","2","09800000097","password"
"","STU-DEMO-0098","Daniel","H.","Rivera","student0098@coedigo.local","student","College of Engineering","BSEE","3","09800000098","password"
"","STU-DEMO-0099","Elaine","I.","Robles","student0099@coedigo.local","student","College of Engineering","BSCpE","4","09800000099","password"
"","STU-DEMO-0100","Francis","J.","Salazar","student0100@coedigo.local","student","College of Engineering","BSME","5","09800000100","password"
"","STU-DEMO-0101","Gina","A.","Santiago","student0101@coedigo.local","student","College of Engineering","BSCE","1","09800000101","password"
"","STU-DEMO-0102","Harold","B.","Soriano","student0102@coedigo.local","student","College of Engineering","BSEE","2","09800000102","password"
"","STU-DEMO-0103","Irene","C.","Tolentino","student0103@coedigo.local","student","College of Engineering","BSCpE","3","09800000103","password"
"","STU-DEMO-0104","Jomari","D.","Velasco","student0104@coedigo.local","student","College of Engineering","BSME","4","09800000104","password"
"","STU-DEMO-0105","Katrina","E.","Vergara","student0105@coedigo.local","student","College of Engineering","BSCE","5","09800000105","password"
"","STU-DEMO-0106","Leo","F.","Aguilar","student0106@coedigo.local","student","College of Engineering","BSEE","1","09800000106","password"
"","STU-DEMO-0107","Maureen","G.","Alvarez","student0107@coedigo.local","student","College of Engineering","BSCpE","2","09800000107","password"
"","STU-DEMO-0108","Nathan","H.","Aquino","student0108@coedigo.local","student","College of Engineering","BSME","3","09800000108","password"
"","STU-DEMO-0109","Olivia","I.","Baluyot","student0109@coedigo.local","student","College of Engineering","BSCE","4","09800000109","password"
"","STU-DEMO-0110","Paolo","J.","Basilio","student0110@coedigo.local","student","College of Engineering","BSEE","5","09800000110","password"
"","STU-DEMO-0111","Queenie","A.","Castillo","student0111@coedigo.local","student","College of Engineering","BSCpE","1","09800000111","password"
"","STU-DEMO-0112","Ramon","B.","Chavez","student0112@coedigo.local","student","College of Engineering","BSME","2","09800000112","password"
"","STU-DEMO-0113","Shaira","C.","Cruz","student0113@coedigo.local","student","College of Engineering","BSCE","3","09800000113","password"
"","STU-DEMO-0114","Toni","D.","Domingo","student0114@coedigo.local","student","College of Engineering","BSEE","4","09800000114","password"
"","STU-DEMO-0115","Ulysses","E.","Enriquez","student0115@coedigo.local","student","College of Engineering","BSCpE","5","09800000115","password"
"","STU-DEMO-0116","Vanessa","F.","Fernandez","student0116@coedigo.local","student","College of Engineering","BSME","1","09800000116","password"
"","STU-DEMO-0117","Warren","G.","Francisco","student0117@coedigo.local","student","College of Engineering","BSCE","2","09800000117","password"
"","STU-DEMO-0118","Xandra","H.","Gonzales","student0118@coedigo.local","student","College of Engineering","BSEE","3","09800000118","password"
"","STU-DEMO-0119","Yvonne","I.","Gutierrez","student0119@coedigo.local","student","College of Engineering","BSCpE","4","09800000119","password"
"","STU-DEMO-0120","Zion","J.","Herrera","student0120@coedigo.local","student","College of Engineering","BSME","5","09800000120","password"
"","STU-DEMO-0121","Adrian","A.","Jacinto","student0121@coedigo.local","student","College of Engineering","BSCE","1","09800000121","password"
"","STU-DEMO-0122","Alyssa","B.","Lazaro","student0122@coedigo.local","student","College of Engineering","BSEE","2","09800000122","password"
"","STU-DEMO-0123","Bianca","C.","Lopez","student0123@coedigo.local","student","College of Engineering","BSCpE","3","09800000123","password"
"","STU-DEMO-0124","Bryan","D.","Magno","student0124@coedigo.local","student","College of Engineering","BSME","4","09800000124","password"
"","STU-DEMO-0125","Camille","E.","Manalo","student0125@coedigo.local","student","College of Engineering","BSCE","5","09800000125","password"
"","STU-DEMO-0126","Cedric","F.","Marquez","student0126@coedigo.local","student","College of Engineering","BSEE","1","09800000126","password"
"","STU-DEMO-0127","Clarisse","G.","Morales","student0127@coedigo.local","student","College of Engineering","BSCpE","2","09800000127","password"
"","STU-DEMO-0128","Daniel","H.","Natividad","student0128@coedigo.local","student","College of Engineering","BSME","3","09800000128","password"
"","STU-DEMO-0129","Elaine","I.","Ortega","student0129@coedigo.local","student","College of Engineering","BSCE","4","09800000129","password"
"","STU-DEMO-0130","Francis","J.","Panganiban","student0130@coedigo.local","student","College of Engineering","BSEE","5","09800000130","password"
"","STU-DEMO-0131","Gina","A.","Perez","student0131@coedigo.local","student","College of Engineering","BSCpE","1","09800000131","password"
"","STU-DEMO-0132","Harold","B.","Ramos","student0132@coedigo.local","student","College of Engineering","BSME","2","09800000132","password"
"","STU-DEMO-0133","Irene","C.","Rivera","student0133@coedigo.local","student","College of Engineering","BSCE","3","09800000133","password"
"","STU-DEMO-0134","Jomari","D.","Robles","student0134@coedigo.local","student","College of Engineering","BSEE","4","09800000134","password"
"","STU-DEMO-0135","Katrina","E.","Salazar","student0135@coedigo.local","student","College of Engineering","BSCpE","5","09800000135","password"
"","STU-DEMO-0136","Leo","F.","Santiago","student0136@coedigo.local","student","College of Engineering","BSME","1","09800000136","password"
"","STU-DEMO-0137","Maureen","G.","Soriano","student0137@coedigo.local","student","College of Engineering","BSCE","2","09800000137","password"
"","STU-DEMO-0138","Nathan","H.","Tolentino","student0138@coedigo.local","student","College of Engineering","BSEE","3","09800000138","password"
"","STU-DEMO-0139","Olivia","I.","Velasco","student0139@coedigo.local","student","College of Engineering","BSCpE","4","09800000139","password"
"","STU-DEMO-0140","Paolo","J.","Vergara","student0140@coedigo.local","student","College of Engineering","BSME","5","09800000140","password"
"","STU-DEMO-0141","Queenie","A.","Aguilar","student0141@coedigo.local","student","College of Engineering","BSCE","1","09800000141","password"
"","STU-DEMO-0142","Ramon","B.","Alvarez","student0142@coedigo.local","student","College of Engineering","BSEE","2","09800000142","password"
"","STU-DEMO-0143","Shaira","C.","Aquino","student0143@coedigo.local","student","College of Engineering","BSCpE","3","09800000143","password"
"","STU-DEMO-0144","Toni","D.","Baluyot","student0144@coedigo.local","student","College of Engineering","BSME","4","09800000144","password"
"","STU-DEMO-0145","Ulysses","E.","Basilio","student0145@coedigo.local","student","College of Engineering","BSCE","5","09800000145","password"
"","STU-DEMO-0146","Vanessa","F.","Castillo","student0146@coedigo.local","student","College of Engineering","BSEE","1","09800000146","password"
"","STU-DEMO-0147","Warren","G.","Chavez","student0147@coedigo.local","student","College of Engineering","BSCpE","2","09800000147","password"
"","STU-DEMO-0148","Xandra","H.","Cruz","student0148@coedigo.local","student","College of Engineering","BSME","3","09800000148","password"
"","STU-DEMO-0149","Yvonne","I.","Domingo","student0149@coedigo.local","student","College of Engineering","BSCE","4","09800000149","password"
"","STU-DEMO-0150","Zion","J.","Enriquez","student0150@coedigo.local","student","College of Engineering","BSEE","5","09800000150","password"
"","STU-DEMO-0151","Adrian","A.","Fernandez","student0151@coedigo.local","student","College of Engineering","BSCpE","1","09800000151","password"
"","STU-DEMO-0152","Alyssa","B.","Francisco","student0152@coedigo.local","student","College of Engineering","BSME","2","09800000152","password"
"","STU-DEMO-0153","Bianca","C.","Gonzales","student0153@coedigo.local","student","College of Engineering","BSCE","3","09800000153","password"
"","STU-DEMO-0154","Bryan","D.","Gutierrez","student0154@coedigo.local","student","College of Engineering","BSEE","4","09800000154","password"
"","STU-DEMO-0155","Camille","E.","Herrera","student0155@coedigo.local","student","College of Engineering","BSCpE","5","09800000155","password"
"","STU-DEMO-0156","Cedric","F.","Jacinto","student0156@coedigo.local","student","College of Engineering","BSME","1","09800000156","password"
"","STU-DEMO-0157","Clarisse","G.","Lazaro","student0157@coedigo.local","student","College of Engineering","BSCE","2","09800000157","password"
"","STU-DEMO-0158","Daniel","H.","Lopez","student0158@coedigo.local","student","College of Engineering","BSEE","3","09800000158","password"
"","STU-DEMO-0159","Elaine","I.","Magno","student0159@coedigo.local","student","College of Engineering","BSCpE","4","09800000159","password"
"","STU-DEMO-0160","Francis","J.","Manalo","student0160@coedigo.local","student","College of Engineering","BSME","5","09800000160","password"
"","STU-DEMO-0161","Gina","A.","Marquez","student0161@coedigo.local","student","College of Engineering","BSCE","1","09800000161","password"
"","STU-DEMO-0162","Harold","B.","Morales","student0162@coedigo.local","student","College of Engineering","BSEE","2","09800000162","password"
"","STU-DEMO-0163","Irene","C.","Natividad","student0163@coedigo.local","student","College of Engineering","BSCpE","3","09800000163","password"
